0,why are brazilian so good-looking,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are brazilian footballers so good,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.5777}
2,why are brazilian gamers so toxic,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are brazilian soils often red,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are brazilian bonds so high,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are brazilian models white,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are brazilian so beautiful,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}
7,why are brazilian gamers so,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why are brazilian names so long,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are brazilian blowouts so expensive,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are brazilian waxes so expensive,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why are brazilian fighters so good,2016-04-27 21:43:21,why are brazilian ,co.uk,en,google, {'neg': 0.134, 'neu': 0.447, 'pos': 0.418, 'compound': 0.5486}
0,why brazilian are so beautiful,2016-04-27 21:43:21,why brazilian are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}
1,why brazilian are white,2016-04-27 21:43:21,why brazilian are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why brazilian are good in football,2016-04-27 21:43:21,why brazilian are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
0,why are brazilian so good-looking,2016-04-27 21:43:22,are why brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are brazilian footballers so good,2016-04-27 21:43:22,are why brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.5777}
2,why are brazilian gamers,2016-04-27 21:43:22,are why brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are brazilian blowouts illegal,2016-04-27 21:43:22,are why brazilian ,co.uk,en,google, {'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.5574}
4,why are brazilian blowouts so expensive,2016-04-27 21:43:22,are why brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are brazilian waxes so popular,2016-04-27 21:43:22,are why brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.5598}
6,why are brazilian models white,2016-04-27 21:43:22,are why brazilian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are brazilian so good-looking,2016-04-27 21:43:22,are brazilian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are brazilian footballers so good,2016-04-27 21:43:22,are brazilian why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.5777}
2,why are brazilian gamers,2016-04-27 21:43:22,are brazilian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are brazilian blowouts illegal,2016-04-27 21:43:22,are brazilian why ,co.uk,en,google, {'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.5574}
4,why are brazilian blowouts so expensive,2016-04-27 21:43:22,are brazilian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are brazilian waxes so popular,2016-04-27 21:43:22,are brazilian why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.5598}
6,why are brazilian models white,2016-04-27 21:43:22,are brazilian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why brazilian are white,2016-04-27 21:43:22,brazilian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why brazilian are good in football,2016-04-27 21:43:22,brazilian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
2,why brazilian footballers are so good,2016-04-27 21:43:22,brazilian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.5777}
0,why brazilian are white,2016-04-27 21:43:23,brazilian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why brazilian are good in football,2016-04-27 21:43:23,brazilian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
