0,brazilian tourists are rude,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
1,brazilian tourists,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,brazilian tourists orlando,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,brazilian tourists disney world,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,brazilian tourists in usa,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,brazilian tourists disney,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,brazilian tourists in florida,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,brazilian tourists attractions,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}
8,brazilian tourists in miami,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,brazilian tourists in new york,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,brazilian tourists in europe,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,brazilian tourists in the us,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,brazilian tourists profile,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,brazilian tourists abroad,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,brazilian tourists in nyc,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,brazilian tourists in france,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,brazilian tourists in america,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,brazilian tourists to uk,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,brazilian tourists in argentina,2016-04-27 21:46:03,brazilian why are tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,brazilian tourists are rude,2016-04-27 21:46:03,brazilian why tourists are ,com.ar,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
0,brazilian tourists,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,brazilian tourists rude,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.6, 'neu': 0.4, 'pos': 0.0, 'compound': -0.4588}
2,brazilian tourists orlando,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,brazilian tourists disney world,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,brazilian tourists in usa,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,brazilian tourists disney,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,brazilian tourists in florida,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,brazilian tourists attractions,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}
8,brazilian tourists in miami,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,brazilian tourists in new york,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,brazilian tourists in europe,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,brazilian tourists in the us,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,brazilian tourists profile,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,brazilian tourists abroad,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,brazilian tourists in nyc,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,brazilian tourists in france,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,brazilian tourists in america,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,brazilian tourists to uk,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,brazilian tourists in argentina,2016-04-27 21:46:04,brazilian are why tourists ,com.ar,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,brazilian tourists are rude,2016-04-27 21:46:04,brazilian tourists why are ,com.ar,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
0,brazilian tourists are rude,2016-04-27 21:46:05,tourists brazilian why are ,com.ar,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
