0,why are indian tourists so rude,2016-04-27 21:46:21,why are indian tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:21,why are tourists indian ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:22,why indian are tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:22,why indian tourists are ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:22,why tourists are indian ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:22,are why indian tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:22,are why tourists indian ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:22,are indian why tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:22,are indian tourists why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:22,are tourists indian why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,indian tourists are rude,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
1,indian tourists,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,indian tourists behaviour,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,indian tourists in thailand,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,indian tourists travelling abroad,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,indian tourists in pakistan,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,indian tourists in switzerland,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,indian tourists in europe,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,indian tourists abroad,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,indian tourists in australia,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,indian tourists places,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,indian tourists in singapore,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,indian tourists attractions,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}
13,indian tourists in sri lanka,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,indian tourists in israel,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,indian tourists in usa,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,indian tourists in russia,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,indian tourists in dubai,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,indian tourists in china,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,indian tourists in nepal,2016-04-27 21:46:23,indian why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,indian tourists are rude,2016-04-27 21:46:23,indian why tourists are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
0,indian tourists,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,indian tourists behaviour,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,indian tourists in thailand,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,indian tourists rude,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.6, 'neu': 0.4, 'pos': 0.0, 'compound': -0.4588}
4,indian tourists travelling abroad,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,indian tourists in pakistan,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,indian tourists in switzerland,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,indian tourists in europe,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,indian tourists abroad,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,indian tourists in australia,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,indian tourists places,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,indian tourists in singapore,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,indian tourists attractions,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}
13,indian tourists in sri lanka,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,indian tourists in israel,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,indian tourists in usa,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,indian tourists in russia,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,indian tourists in dubai,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,indian tourists in china,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,indian tourists in nepal,2016-04-27 21:46:23,indian are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are indian tourists so rude,2016-04-27 21:46:23,indian are tourists why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,indian tourists are rude,2016-04-27 21:46:23,indian tourists why are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
1,why are indian tourists so rude,2016-04-27 21:46:23,indian tourists why are ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:23,indian tourists are why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:23,tourists why are indian ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:23,tourists why indian are ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:23,tourists are why indian ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are indian tourists so rude,2016-04-27 21:46:23,tourists are indian why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,indian tourists are rude,2016-04-27 21:46:24,tourists indian why are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
1,why are indian tourists so rude,2016-04-27 21:46:24,tourists indian why are ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
