0,why are american cities so big,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american cities grid,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so small,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities so spread out,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american cities so boring,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
5,why american cities don't burn,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why american cities don't burn,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why american cities don't burn,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why american cities are fighting to attract immigrants,2016-04-27 21:47:46,why american cities are ,co.uk,en,google, {'neg': 0.227, 'neu': 0.545, 'pos': 0.227, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,why cities are american ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,why cities are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,why cities are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,why cities are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,are american cities dying,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,are american cities dying,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,are american cities dying,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american cities so boring,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
2,why are american cities so spread out,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities so big,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american cities grid,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,are american cities why ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,are american cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,are american cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,are american cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,are cities american why ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,are cities american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,are cities american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,are cities american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american cities are boring,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}
1,american cities are dying,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why american cities don't burn,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,american cities,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,american cities by population,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,american cities list,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,american cities to visit,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,american cities names,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,american cities alphabetical,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,american cities map,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,american cities beginning with p,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,american cities with subways,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,american cities beginning with c,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,american cities by size,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,american cities beginning with m,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,american cities that start with d,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,american cities a-z,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,american cities and states,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,american cities starting with m,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,american cities with french names,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american cities are boring,2016-04-27 21:47:47,american why cities are ,co.uk,en,google, {'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}
1,american cities are dying,2016-04-27 21:47:47,american why cities are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,are american cities dying,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,american cities,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,american cities by population,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,american cities list,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,american cities to visit,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,american cities names,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,american cities alphabetical,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,american cities map,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,american cities beginning with p,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,american cities with subways,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,american cities beginning with c,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,american cities by size,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,american cities beginning with m,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,american cities that start with d,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,american cities a-z,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,american cities and states,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,american cities starting with m,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,american cities with french names,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,american cities starting with p,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,american cities beginning with a,2016-04-27 21:47:47,american are why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:47,american are cities why ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:47,american are cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:47,american are cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:47,american are cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american cities are boring,2016-04-27 21:47:47,american cities why are ,co.uk,en,google, {'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}
1,american cities are dying,2016-04-27 21:47:47,american cities why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,american cities that are on the rise,2016-04-27 21:47:47,american cities why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities so boring,2016-04-27 21:47:47,american cities why are ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
4,why are american cities so spread out,2016-04-27 21:47:47,american cities why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are american cities so big,2016-04-27 21:47:47,american cities why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are american cities grid,2016-04-27 21:47:47,american cities why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:47,american cities are why ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:47,american cities are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:47,american cities are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:47,american cities are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,cities american airlines flies to,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,cities american,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,cities american samoa,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,cities american idol auditions 2014,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,cities american sniper is playing,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.2023}
5,cities american history,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,cities american airlines,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,cities american idol auditions,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,cities american idol auditions 2015,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,cities american idol,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are american cities so boring,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
11,why are american cities so spread out,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why are american cities so big,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why are american cities grid,2016-04-27 21:47:47,cities why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:48,cities why american are ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:48,cities why american are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:48,cities why american are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:48,cities why american are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,cities american airlines flies to,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,cities american,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,cities american samoa,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,cities american idol auditions 2014,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,cities american sniper is playing,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.2023}
5,cities american history,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,cities american airlines,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,cities american idol auditions,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,cities american idol auditions 2015,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,cities american idol,2016-04-27 21:47:48,cities are why american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:48,cities are american why ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:48,cities are american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:48,cities are american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:48,cities are american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american cities are boring,2016-04-27 21:47:48,cities american why are ,co.uk,en,google, {'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}
1,american cities are dying,2016-04-27 21:47:48,cities american why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so boring,2016-04-27 21:47:48,cities american why are ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
3,why are american cities so spread out,2016-04-27 21:47:48,cities american why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american cities so big,2016-04-27 21:47:48,cities american why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are american cities grid,2016-04-27 21:47:48,cities american why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
